likes,body,url
12,"Чем больше мы преодолеваем себя - тем выше наша самооценка. 
Чем выше самооценка - тем сильнее мы чувствуем, что заслуживаем большего. 
Чем мы большего заслуживаем - тем качественнее наш выбор. 
А чем качественнее наш выбор - тем более привлекательную жизнь мы получаем. 
Все очень просто. 
(с)

#мотивация_от_молот",https://sun9-47.userapi.com/impg/3F_O9Meu6T9tRmn1SKi3vqPbYQUPLjctkrg1ww/cn_5HTraygQ.jpg?size=720x1080&quality=96&sign=9c65974ec4b2739fb22b90d90492654c&c_uniq_tag=lBg-SzaiRq6QNbh4asqMAJAt4oEYNQXnEyaBhXOPR_U&type=album
15,Режим работы в Новогодние праздники,https://sun9-48.userapi.com/impg/GNtN4NMPRz-6j9mjQKvwaPO7BMlnTuyKuxgz8g/LgDtRtW6zno.jpg?size=1081x1081&quality=96&proxy=1&sign=955cf428fd97499c144f472a1ceff3cc&c_uniq_tag=5QgOKRp5c5b2wE6bRIM2M-5FabOqS8zyknTBI3VJ4Lc&type=album
7,"Уважаемые клиенты! 
 
В целях реализации мер по противодействию распространения новой коронавирусной инфекции (COVID-19) путем проведения комплексных работ по дезинфекции помещений фитнес-клуба обеззараживающими средствами, которые требуют более длительного время 
нанесения, уведомляем Вас об изменении режима работы фитнес клуба в субботу 19.12.2020 года. 
Клуб будет работать с 9 до 18.00. 
 
Просим заранее планировать свои тренировки. 
 
С уважением администрация ФК Молот",https://sun9-31.userapi.com/impg/VhkEvS9dG7SM1nGouE2Ru3mXuzoE_kgya5OhMg/xhybrv0DEnA.jpg?size=1081x1081&quality=96&proxy=1&sign=83bcc7c9197885fe3a4013a927feae81&c_uniq_tag=rnxSDGd_SIj8B7-3wOp_N0UK9iklQzcVAkS5FLDPhzA&type=album
8,"Надо искать свою суть, свои человеческие истоки, свои внутренние силы, свои потенциалы. 
Высота человека зависит не от его физического роста, а от грандиозности его мечты. 
Открывающиеся ему горизонты очерчиваются не горами, а его верой в себя. Он молод сердцем; он — носитель и хранитель надежды, он обладает вечной силой, позволяющей оставаться оптимистом, энтузиастом и сохранять способность исполнять то, к чему стремится. (с) Хорхе Анхель Ливрага 
 
#мотивация_от_молот

photo [id319178502|@al.sklv] 

[club147399356|Молот - Невский. Фитнес клуб]",https://sun9-42.userapi.com/impg/R8-9WZEgKXdxb-XLBpf6CC20Sj5vpWvo_VaE9w/dh5XdEYIU2w.jpg?size=864x1080&quality=96&sign=fccf2857a9120a4f3717b313f713ca09&c_uniq_tag=P8Ab5I6QRx33wbsOdtwi-omCN__AANq6EiGU4loA80I&type=album
9,"Уважаемые клиенты! 

В целях реализации мер по противодействию распространения новой коронавирусной инфекции (COVID-19) путем проведения комплексных работ по дезинфекции помещений фитнес-клуба обеззараживающими средствами, которые требуют более длительного время 
нанесения, уведомляем Вас об изменении режима работы фитнес клуба в субботу 19.12.2020 года. 
Клуб будет работать с 9 до 18.00. 
 
Просим заранее планировать свои тренировки. 
 
С уважением администрация ФК Молот",https://sun9-31.userapi.com/impg/VhkEvS9dG7SM1nGouE2Ru3mXuzoE_kgya5OhMg/xhybrv0DEnA.jpg?size=1081x1081&quality=96&proxy=1&sign=83bcc7c9197885fe3a4013a927feae81&c_uniq_tag=rnxSDGd_SIj8B7-3wOp_N0UK9iklQzcVAkS5FLDPhzA&type=album
1,"Открыта вакансия Менеджер по продажам 
 
Обязанности: 
- Осуществление поиска клиентов, теплые звонки по существующей базе и наработка своей клиентской базы; 
-Консультирование клиентов по услугам клуба; 
-Презентация клуба; 
-Продажа клубных карт и дополнительных секций; 
-Общение с клиентами в клубе и по телефону. 
 
Требования: 
 
-Опыт прямых продаж; проведение телефонных переговоров (выполнение плана по звонкам) 
-Презентабельный вид; 
-Знание и владение техниками продаж; 
-Грамотная речь; 
 
Условия: 
-Оформление по ТК РФ; 
-оклад + бонусы 
-Бесплатное посещение фитнес клуба; 
 
Сменный график работы 2/2: с 9 до 19.00, 11.00 до 21.00, 13.00 до 23.00; 
 
Фитнес клуб расположен в минуте от станции метро Адмиралтейская: ТЦ ""Адмирал"". 
 
Более подробная информация о вакансии и запись на собеседование: +79046107557",https://sun9-8.userapi.com/impg/oS773NEg7IfFzcb9jrCEcGTTAP7_70-bcrz7YQ/oDcBkQxwRhk.jpg?size=1080x1080&quality=96&proxy=1&sign=7a5e441debdd1539da21618d1e566cca&c_uniq_tag=RcS3GOTgQ4A400ZTuDmdK0Z9b7KUqV_zPgNhZzKPxlU&type=album
0,,https://sun9-19.userapi.com/bjwZba-glEpzMx-gyX8V7LdNjwnXasqwL2kEhQ/y_pqtnHR3wg.jpg
0,"Уважаемые клиенты!
В субботу, 7.11 14.00 - ОТМЕНА занятия Dance Mix

Приносим извинения за неудобства",https://sun9-57.userapi.com/impg/pR0Rgqh8qOtQRIQdEyRfeEfdMuw7TMlySyt2DA/BFAJnbJMkoY.jpg?size=1081x1081&quality=96&proxy=1&sign=1f98a0b7ab8e1db3cf506c5c7d1dc0e2&c_uniq_tag=yCopR-0yvZnhnn9xtxAf3xAkrCYtGdL6XK2TJywuX0A&type=album
0,"12 сентября (суббота) 13.00 ОТМЕНА танцевальная акробатика

тренер Куркина Евгения

Приносим извинения за неудобства",https://sun9-12.userapi.com/impg/-rVf8yEgelSt9qZmtfnh1xWMli92fhq2WSgh2w/YJ1-Kz8Fs14.jpg?size=1081x1081&quality=96&proxy=1&sign=690289b7a36fc150867ca7e6e11172e9&c_uniq_tag=iU_mAuWgPGQaL7jCZqcTQcGwNjYVSvJ5-iSDFhLd4_8&type=album
2,"Фитнес-клуб Молот - партнер мероприятия Трейлраннинг Веломарафон [club45466281|@plosport] 
https://plosport.ru/ 
 
СКИДКА для наших клиентов на слоты - промокод molot10",https://sun9-23.userapi.com/impg/m4ZyHY2ZA2EK7d7puHM36NTKynY6wWf52srWmQ/RlC2GxBJsi4.jpg?size=764x1080&quality=96&sign=1c6fe297e8f054a0dd1224b824a13da2&c_uniq_tag=H0Te5FHpOKwbkrU_cZDSfISu1eNhZAuwrWsRyD9MfJ4&type=album
2,"Фитнес-клуб Молот - партнер мероприятия Трейлраннинг Веломарафон [club45466281|@plosport] 
https://plosport.ru/ 
 
СКИДКА для наших клиентов на слоты - промокод molot10",https://sun9-30.userapi.com/impg/guV9YCBJlHvDsBLLVeSy2aaJQwhkNK1XC0QGww/k2wVL8qi5rI.jpg?size=764x1080&quality=96&sign=5d5402a66e4f60de1bb5e3962a35f3a4&c_uniq_tag=rzll479CkDBXeHZK66I3m8yx-HS1uGo8_e0WvNF3pac&type=album
3,"Предлагаем АРЕНДУ зала групповых программ в фитнес-клубе Молот 
 
- Зал групповых программ оснащен современным оборудованием и специальным напольным покрытием, что является наиболее удобным и безопасным для занятий фитнесом и танцами. 
 
- Зеркальные стены дают возможность постоянно контролировать технику выполнения упражнений на протяжении всего урока. 
 
- Зал располагает новейшим аэробным оборудованием: степы, фитболы, гантели, гимнастические палки с различными отягощениями, большой выбор эспандеров и отягощений. 
 
Подробности по телефону 8 921 890 44 10

Фитнес-клуб Молот 
пр.Большевиков, 18
ТК Невский, 3 этаж 
 
#аренда #коммерческаяаренда #арендаспортивногозала #арендаспб #арендафитнесклуба #спортзалваренду #арендаспортзаласпб #арпендапитер",https://sun9-32.userapi.com/impg/xbXmXf5FmgQs0U53YvCsBnPs_UQtTboYtoYayg/QTo2f4BrGf4.jpg?size=1280x1280&quality=96&sign=dc20e9f4481a80b60850ff5b0462c78b&c_uniq_tag=2x1WlwMYtQDb1lALnhN4hBcUe63SARB1QaCNJxVvXgs&type=album
2,"Фитнес-клуб МОЛОТ - партнер мероприятия [club45466281|Трейлраннинг Веломарафон] 
https://plosport.ru/

СКИДКА для наших клиентов на слоты - промокод MOLOT10",https://sun9-43.userapi.com/impg/l1at3c2-kXoo54gNE4O4ttNCBVGPX-7-04VLrQ/g_fDsKD9U0k.jpg?size=764x1080&quality=96&sign=3d9003207d46892750b281b61f7d61ee&c_uniq_tag=6BzStH8r98Ht5fE2SFGd7gTPW21SNgQuY0QqL1WthDc&type=album
53,"""Это сложный путь, но я могу пройти его вместе с тобой"" ©

Во время вынужденной самоизоляции, тренеры фитнес-клуба Молот готовы проводить тренировки в удалённом режиме.

Подробности уточняйте, пожалуйста, у тренеров:

Гамаль Екатерина @gml_ka 
Писарева Полина https://vk.com/nechta
Панкратьева Юля https://vk.com/lubimkajulia
Лукашевич Евгений https://vk.com/id45459123
Красовская Виктория https://vk.com/viavika
Костарев Виталий https://vk.com/id446281024
Немцова Елена https://vk.com/nemtsovafit
Голубева Лариса https://vk.com/egorka8
Бурун Игорь https://vk.com/igorburun
Большаков Владимир https://vk.com/id_voga
Асеева Ольга https://vk.com/id275374467
Грибкова Наталья https://vk.com/id481015
Добротина Ирина https://vk.com/id502114707
Куркина Евгения
Козлов Артём https://vk.com/artimiu
Сайдашев Никита https://vk.com/id525927592
Петросян Никита https://vk.com/id5013783
Тихомиров Владимир @coach.vladimir
Кузьменкова Татьяна https://vk.com/tanushafox
Видяева Ольга 

Берегите себя и своих близких, не посещайте места скопления людей, чаще мойте руки и соблюдайте меры предосторожности.",https://sun9-35.userapi.com/impg/c858020/v858020398/1b8b0a/D1TOCdsjAhw.jpg?size=1043x960&quality=96&proxy=1&sign=52303d2ecf7a640fd8915fc59593349a&c_uniq_tag=F_taqqkrzh6IW-0PZHW0DSIVkbDs4GKq8WgBJhHeHXI&type=album
6,,https://sun9-7.userapi.com/impg/c858020/v858020555/19ea9f/yqJusZvDlr8.jpg?size=1280x720&quality=96&sign=2848584eb9d13770805685bbf8731180&c_uniq_tag=fTpX99PDS-EZ9gX6tOlZRYK6YKRBUAhMRKMkSA3j2mA&type=album
3,"Уважаемые клиенты!
7-9 марта фитнес-клуб работает в режиме выходного дня с 9.00 дло 22.00

Планируйте тренировки заранее",https://sun9-24.userapi.com/impg/sePWpLAoi3yAP1HA7el8sSkFq9e3DzO871D2ZQ/g9nCIc-peEU.jpg?size=1080x1080&quality=96&proxy=1&sign=b0df93e240ffc7792e4539804235b565&c_uniq_tag=T80VnLRU3maiTLXGrz2-2ORsSsYnYsl0YzBj4sSXy6s&type=album
12,Расписание групповых программ 24 февраля - 1 марта,https://sun9-67.userapi.com/impg/gqDPaQn3OKFDfY296AESo3oJul1gAWukeqkRmg/bOG2rNAgje4.jpg?size=1280x720&quality=96&sign=8f9282ca7998b37bfc12a931af77baef&c_uniq_tag=2Uz2ESxKufpaVHQP30zUJHzS33ayg6SbkaEOJGvnbUg&type=album
4,"Уважаемые клиенты!
24 февраля фитнес-клуб Молот работает в режиме выходного дня
с 9.00 до 22.00

Планируйте, пожалуйста, тренировки заранее",https://sun9-30.userapi.com/impg/c855124/v855124227/1f9703/O-kxFZkL404.jpg?size=778x1080&quality=96&sign=95c4ef9458c9bcb6566878f2863625e9&c_uniq_tag=S0ls_ylG3zLpn1VA7hNxYKwls6W2wDlXjzfFaeUFJzE&type=album
12,"Успешные люди делают то, что неуспешные не хотят делать. 
Не стремитесь, чтобы было ЛЕГЧЕ, стремитесь, чтобы было ЛУЧШЕ 
• • • • • • • • 
#мотивация_от_молот

photo @e.y.a.__ifbb 

Фитнес-клуб Молот 
пр.Большевиков, 18",https://sun9-11.userapi.com/impg/QG815whOt-L-w9ujmM40wb2Y9e1bwKzTakKRzw/f-9tVfIN-8I.jpg?size=864x1080&quality=96&sign=6dde10c7ad57fb7e7b7dc70f954392ee&c_uniq_tag=WAh1Adm6vGNxByZRDeB3-fbnSdgD4CS90pRLxkrn5R8&type=album
3,"Изменения в расписании 
24 января (пятница) ЗАМЕНА ТРЕНЕРА :
9.00 - Lower Body
10.00 - Super Sculpt
11.00 - Abs+flex
Тренер Фёдорова Екатерина

Приносим извинения за неудобства",https://sun9-17.userapi.com/impg/-gOHfrplRbLCcQ3JxN63yvzhfAuEvI4v18NqRg/oD-fIDVPd_g.jpg?size=1080x1080&quality=96&proxy=1&sign=ea4c52d5384b2f2dd8141df8e40c3a87&c_uniq_tag=43OkQ9MI7om8CLGXDbYCBtWyLb7xmjAGLgtrxSDUTfo&type=album
3,"Изменения в расписании! 
Сегодня 23.01 в 20:00 - ОТМЕНА занятия BOSU. 
19.00 PUMP, 20.00 Functional Training, 21.00 FLEX - замена тренера, занятия ведёт Фёдорова Екатерина. 
 
Приносим свои извинения за неудобства.",https://sun9-45.userapi.com/impg/c855236/v855236785/1dca9e/epts0DPxP5g.jpg?size=1280x1279&quality=96&sign=4e9c35e929b027295bcf97bca2419889&c_uniq_tag=F1rHRvGuq9NA76CZkd5jAYCD5PODfqzCC7rEjKdTBoo&type=album
7,Расписание групповых программ с 6 по 12 января,https://sun9-37.userapi.com/impg/c857216/v857216196/a0d31/DNDVHlho7uA.jpg?size=1280x720&quality=96&sign=af01c7320b51f9a4e1632ad0f1783ed7&c_uniq_tag=XL65FYbkZgNSXzm7-zjuxYgUGT9NReQspwzIJ7nt5yE&type=album
3,"Уважаемые клиенты! 
Напоминаем, СЕГОДНЯ 
13 декабря фитнес-клуб Молот работает до 18.00 
 
Просим планировать тренировки заранее",https://sun9-28.userapi.com/impg/LiXA8ZBgR9QmSBNrRli9uAbYv9OzOGMhz3AN7A/tBCAxTwAPFk.jpg?size=1080x1080&quality=96&proxy=1&sign=0cd9b67db130deb33cd648916a2d2463&c_uniq_tag=mktldg3UpqSSbQNTl2zWyoIqOcBAEY1F2ftwE06zlYU&type=album
5,"Уважаемые клиенты! 
Напоминаем, ЗАВТРА 
13 декабря фитнес-клуб Молот работает до 18.00 
 
Просим планировать тренировки заранее",https://sun9-33.userapi.com/impg/c856016/v856016504/19d17a/dQqaXGj4BcQ.jpg?size=1080x1080&quality=96&proxy=1&sign=0b527345c9c83b031aa030c561a60082&c_uniq_tag=H7YGZAt-SJWSdBhwoxlQXdFk-OhMgCKmDxSJH2fN0H4&type=album
3,"Уважаемые клиенты!
13 декабря фитнес-клуб Молот работает до 18.00

Просим планировать тренировки заранее",https://sun9-58.userapi.com/impg/c858332/v858332768/11bc8e/U5OlYMjeLT8.jpg?size=1080x1080&quality=96&proxy=1&sign=24d5a239b6bad2261916684d7306f0f2&c_uniq_tag=eOjoEvJY-1c7t6aMQNhCsHhyBsoR4LJG2e83EYoxa8M&type=album
